expense_categories,Expense Categories,فئات المصروفات
add_category,Add Category,إضافة فئة
category_in_use,Category is used by transactions and cannot be deleted,الفئة مستخدمة في معاملات ولا يمكن حذفها
recurring_section,Recurring,المتكرر
recurring_manage,Recurring transactions,المعاملات المتكررة
add_recurring,Add Recurring,إضافة متكرر
day_of_month,Day of month,يوم الشهر
security_section,Security,الأمان
danger_zone,Danger Zone,منطقة الخطر
delete_all_data,Delete All Data,حذف كل البيانات
delete_all_confirm,This will permanently clear all local data on this device.,سيؤدي هذا إلى حذف جميع البيانات المحلية نهائيًا على هذا الجهاز.
ai_section,AI,الذكاء الاصطناعي
coming_soon,Coming soon,قريبًا
ai_coming_soon,AI key settings are not enabled in this build.,إعدادات مفاتيح الذكاء الاصطناعي غير مفعلة في هذا الإصدار.
drive_backup_coming_soon,Google Drive backup not available yet.,النسخ الاحتياطي على Google Drive غير متاح بعد.
about_section,About,حول التطبيق
language_label,Language,اللغة
main_currency,Main Currency,العملة الرئيسية
default_entry_currency,Default Entry Currency,عملة الإدخال الافتراضية
method,Method,الطريقة
monthly_hawl,Monthly / Hawl,شهري / حول
annual,Annual,سنوي
hijri_month,Hijri Month,الشهر الهجري
hijri_day,Hijri Day,اليوم الهجري
auto_refresh_market,"Automatic refresh: Every 5 minutes while app is open",تحديث تلقائي: كل 5 دقائق أثناء فتح التطبيق
advanced_manual_override,Advanced Manual Override,تعديل يدوي متقدم
gold_24k_price_per_gram_egp,Gold 24K price / gram (EGP),سعر ذهب 24 قيراط/جرام (EGP)
silver_price_per_gram_egp,Silver price / gram (EGP),سعر الفضة/جرام (EGP)
account_placeholder,Sign-in and profile settings will be available in a later phase.,إعدادات تسجيل الدخول والملف الشخصي ستكون متاحة في مرحلة لاحقة.
appearance_placeholder,Theme mode (System / Light / Dark) will be wired in a later phase.,وضع السمة (النظام/فاتح/داكن) سيتم ربطه في مرحلة لاحقة.
backup_placeholder,Backup and sync options will be available in a later phase.,خيارات النسخ الاحتياطي والمزامنة ستكون متاحة في مرحلة لاحقة.
about_version,Version: 1.0.0 (placeholder),الإصدار: 1.0.0 (تجريبي)
about_build,Build/Branch: local-dev (placeholder),البناء/الفرع: local-dev (تجريبي)
totals,Totals,الإجماليات
total_cash,Total Cash,إجمالي النقد
total_gold_grams,Total Gold (g),إجمالي الذهب (جم)
total_silver_grams,Total Silver (g),إجمالي الفضة (جم)
total_investment_value_egp,Total Investment Value (EGP),إجمالي قيمة الاستثمار (EGP)
total_investment_net_egp,Total Investment Net (EGP),صافي إجمالي الاستثمار (EGP)
assets_empty_message,Add savings and investments to track your wealth.,أضف المدخرات والاستثمارات لتتبع ثروتك.
cash,Cash,نقد
gold,Gold,ذهب
silver,Silver,فضة
property,Property,عقار
company_share,Company Share,سهم شركة
company_shares,Company Shares,أسهم شركات
liabilities,Liabilities,الالتزامات
no_entries_for,No {label} entries,لا توجد عناصر {label}
delete_saving,Delete saving?,حذف الادخار؟
delete_saving_message,This saving entry will be removed permanently.,سيؤدي هذا إلى حذف هذا الادخار نهائيًا.
delete_investment,Delete investment?,حذف الاستثمار؟
delete_investment_message,This investment entry will be removed permanently.,سيؤدي هذا إلى حذف هذا الاستثمار نهائيًا.
delete_transaction,Delete transaction?,حذف المعاملة؟
delete_transaction_message,This action cannot be undone.,لا يمكن التراجع عن هذا الإجراء.
delete_plan,Delete plan?,حذف الخطة؟
delete_plan_message,This plan will be removed permanently.,سيؤدي هذا إلى حذف هذه الخطة نهائيًا.
plans_empty_message,Create a plan to track long-term goals.,أنشئ خطة لتتبع أهدافك طويلة المدى.
duration_years,Duration: {years} years,المدة: {years} سنة
monthly_saving_value,Monthly saving: {amount} {currency},الادخار الشهري: {amount} {currency}
projected_balance_value,Projected balance: {amount} {currency},الرصيد المتوقع: {amount} {currency}
add_transaction,Add Transaction,إضافة معاملة
edit_transaction,Edit Transaction,تعديل معاملة
add_cash_title,Add Cash,إضافة نقدي
edit_cash_title,Edit Cash,تعديل نقدي
add_saving_title,Add Saving,إضافة ادخار
edit_saving_title,Edit Saving,تعديل ادخار
add_investment_title,Add Investment,إضافة استثمار
edit_investment_title,Edit Investment,تعديل استثمار
add_plan_title,Add Plan,إضافة خطة
edit_plan_title,Edit Plan,تعديل خطة
type,Type,النوع
amount,Amount,المبلغ
currency,Currency,العملة
category,Category,الفئة
notes,Notes,ملاحظات
date,Date,التاريخ
save_transaction,Save Transaction,حفظ المعاملة
update_transaction,Update Transaction,تحديث المعاملة
save_cash,Save Cash,حفظ النقدي
update_cash,Update Cash,تحديث النقدي
save_saving,Save Saving,حفظ الادخار
update_saving,Update Saving,تحديث الادخار
save_investment,Save Investment,حفظ الاستثمار
update_investment,Update Investment,تحديث الاستثمار
save_plan,Save Plan,حفظ الخطة
update_plan,Update Plan,تحديث الخطة
saving_progress,Saving...,جارٍ الحفظ...
amount_gt_zero,Amount must be greater than 0,يجب أن يكون المبلغ أكبر من 0
category_required,Category is required,الفئة مطلوبة
currency_required,Currency is required,العملة مطلوبة
name,Name,الاسم
name_required,Name is required,الاسم مطلوب
asset_type,Asset Type,نوع الأصل
current_value,Current Value,القيمة الحالية
current_value_gt_zero,Current value must be greater than 0,يجب أن تكون القيمة الحالية أكبر من 0
ownership_pct,Ownership %,نسبة الملكية %
ownership_pct_range,Ownership % must be between 0 and 100,يجب أن تكون نسبة الملكية بين 0 و100
purchase_price_optional,Purchase Price (Optional),سعر الشراء (اختياري)
remaining_liability_optional,Remaining Liability (Optional),الالتزام المتبقي (اختياري)
valuation_date,Valuation Date,تاريخ التقييم
plan_name,Plan Name,اسم الخطة
starting_balance,Starting Balance,الرصيد الابتدائي
starting_balance_non_negative,Starting balance must be >= 0,يجب أن يكون الرصيد الابتدائي >= 0
monthly_saving,Monthly Saving,الادخار الشهري
monthly_expense,Monthly Expense,المصروف الشهري
expected_annual_return,Expected Annual Return %,العائد السنوي المتوقع %
duration_years_label,Duration Years,مدة السنوات
duration_years_gt_zero,Duration years must be > 0,يجب أن تكون مدة السنوات أكبر من 0
start_date,Start Date,تاريخ البدء
include_installments,Include Installments,تضمين الأقساط
include_zakat,Include Zakat,تضمين الزكاة
weight_grams,Weight (grams),الوزن (جرام)
gold_purity,Gold Purity (Karat),نقاء الذهب (قيراط)
gold_purity_required,Gold purity is required,نقاء الذهب مطلوب
silver_uses_grams,Silver uses grams as unit.,الفضة تستخدم الجرام كوحدة.
start_zakat_journey,Start your Zakat journey,ابدأ رحلتك مع الزكاة
add_first_income_saving_asset,"Add your first income, saving, or asset.",أضف أول دخل أو ادخار أو أصل.
add_first_entry,Add First Entry,أضف أول إدخال
net_position,Net Position,صافي المركز
upcoming_dues,Upcoming Dues,المستحقات القادمة
this_year,this year,هذا العام
next_zakat,Next Zakat,الزكاة القادمة
zakat_applicable,Zakat Applicable,الزكاة مستحقة
no_zakat_due,No Zakat Due,لا توجد زكاة مستحقة
met,Met,متحقق
not_met,Not Met,غير متحقق
above_nisab,Above Nisab,فوق النصاب
below_nisab,Below Nisab,دون النصاب
status,Status,الحالة
protected_since,Since,منذ
next_zakat_date,Next Zakat Date,تاريخ الزكاة القادم
zakat_due_this_month,Zakat Due This Month,الزكاة المستحقة هذا الشهر
zakat_due_next_month,Zakat Due Next Month,الزكاة المستحقة الشهر القادم
total_upcoming_dues,Total Upcoming Dues,إجمالي المستحقات القادمة
asset_allocation,Wealth Allocation,توزيع الثروة
cash_pct,Cash & Wallets,نقد ومحافظ
metals_pct,Precious Metals,معادن ثمينة
property_pct,Real Estate,عقارات
company_pct,Company Investments,استثمارات الشركات
recent_activity_title,Recent Activity,النشاط الأخير
quick_actions,Quick Actions,إجراءات سريعة
activity_empty_message,Add income or expenses to see activity history.,أضف دخلًا أو مصروفات لعرض سجل النشاط.
schedule_empty_message,Dues appear after your assets and income reach hawl and nisab.,تظهر المستحقات بعد وصول الأصول والدخل إلى الحول والنصاب.
signed_out_state,You are signed out.,أنت غير مسجّل الدخول.
sign_in_google,Sign in with Google,تسجيل الدخول باستخدام Google
sign_out,Sign out,تسجيل الخروج
market_data_refreshed,Market data refreshed.,تم تحديث بيانات السوق.
no_market_data_refreshed,No market data refreshed.,لم يتم تحديث أي بيانات سوق.
usd_to_egp,USD to EGP,USD إلى EGP
sar_to_egp,SAR to EGP,SAR إلى EGP
aed_to_egp,AED to EGP,AED إلى EGP
kwd_to_egp,KWD to EGP,KWD إلى EGP
zakat,Zakat,الزكاة
upcoming_obligations,Upcoming Obligations,الالتزامات القادمة
obligations_this_month,Obligations This Month,التزامات هذا الشهر
obligations_next_month,Obligations Next Month,التزامات الشهر القادم
total_upcoming_obligations,Total Upcoming Obligations,إجمالي الالتزامات القادمة
obligation_type_zakat,Zakat,زكاة
obligation_type_installment,Installment,قسط
no_upcoming_obligations,No upcoming obligations,لا توجد التزامات قادمة
mark_as_paid,Mark as Paid,تحديد كمسدد
mark_as_unpaid,Mark as Unpaid,إلغاء تحديد السداد
